iter	Logloss
0	0.3579200208
1	0.1931514243
2	0.1140281213
3	0.0726921847
4	0.05149595886
5	0.03909592004
6	0.03148142839
7	0.0267629478
8	0.02359125095
9	0.02157456185
10	0.01925046428
11	0.01812668507
12	0.01732885095
13	0.01659706453
14	0.01579596928
15	0.01542095354
16	0.01487344298
17	0.01451688581
18	0.01428686372
19	0.01391131781
20	0.0136756131
21	0.01338172246
22	0.01306820855
23	0.01285372552
24	0.01268709799
25	0.01254518068
26	0.01243161693
27	0.01230279514
28	0.01220135109
29	0.01209669148
30	0.01199370456
31	0.01190927344
32	0.01185082405
33	0.01168281122
34	0.01160043536
35	0.0115202846
36	0.0114582988
37	0.0113491364
38	0.01126997296
39	0.01118799351
40	0.01108446527
41	0.01106647448
42	0.0109941523
43	0.01094373516
44	0.01089184824
45	0.01087910988
46	0.01084357843
47	0.01080957767
48	0.01076983852
49	0.01073401074
50	0.01069264867
51	0.01068014282
52	0.01064439818
53	0.0106123874
54	0.0105531677
55	0.01054920732
56	0.01052639567
57	0.01048043074
58	0.01045414477
59	0.01042758047
60	0.0104167048
61	0.01038271277
62	0.01037876448
63	0.0103624552
64	0.0103413364
65	0.01031131919
66	0.01028364212
67	0.01024881152
68	0.01023261782
69	0.01023018964
70	0.01019493691
71	0.01016352517
72	0.01014880744
73	0.01013603978
74	0.01011803274
75	0.0100994158
76	0.01006661365
77	0.01004950413
78	0.01003274248
79	0.01001154814
80	0.00998322449
81	0.009972167883
82	0.009964279621
83	0.009930106576
84	0.009923850081
85	0.009912942652
86	0.009908036772
87	0.009897948561
88	0.009869618695
89	0.009859057486
90	0.009834112948
91	0.009829804685
92	0.009810599119
93	0.009802265637
94	0.009797522069
95	0.00978951359
96	0.009763038354
97	0.009761547796
98	0.009760291805
99	0.009756122439
100	0.009745025352
101	0.009714455353
102	0.009707280183
103	0.009686656769
104	0.009681400203
105	0.009672371055
106	0.00967073527
107	0.009646534892
108	0.009632184
109	0.009630956149
110	0.009610085772
111	0.009587609269
112	0.00956355224
113	0.009545743505
114	0.009530091825
115	0.009511308473
116	0.009494144165
117	0.009472679948
118	0.009461238992
119	0.009443195684
120	0.009429988545
121	0.009418712587
122	0.009417468538
123	0.009402251905
124	0.009388704226
125	0.009377770452
126	0.009360587642
127	0.009346315421
128	0.009329751989
129	0.009317245842
130	0.009308684565
131	0.00930767287
132	0.009294731693
133	0.00928613146
134	0.009279958266
135	0.009269872797
136	0.00926488278
137	0.009264394621
138	0.009262341184
139	0.009261559522
140	0.00925358681
141	0.009253142493
142	0.009242608415
143	0.009229979658
144	0.009215586116
145	0.009212058299
146	0.009207526143
147	0.009199503384
148	0.009190426083
149	0.009188059865
150	0.009184706092
151	0.009172191719
152	0.00916843937
153	0.009167589856
154	0.009159451045
155	0.0091589578
156	0.009155838297
157	0.009147027505
158	0.009146570267
159	0.009136780243
160	0.009133698799
161	0.009130040342
162	0.009126667104
163	0.009126229832
164	0.009121788607
165	0.009114007845
166	0.009112332554
167	0.009111915112
168	0.009111027627
169	0.009105457955
170	0.009101460451
171	0.009099495175
172	0.009098264197
173	0.009089626387
174	0.009084164282
175	0.009077837727
176	0.009073328796
177	0.009059735141
178	0.009057095375
179	0.009056862386
180	0.009053325031
181	0.009044070323
182	0.009044006174
183	0.009043849506
184	0.009032253718
185	0.009031863919
186	0.009026796163
187	0.009014423705
188	0.009012374715
189	0.009012370323
190	0.00901236978
